iter	Passed	Remaining
0	40	20434
1	97	24156
2	182	30273
3	234	29092
4	288	28556
5	332	27387
6	383	27018
7	446	27470
8	500	27323
9	548	26900
10	601	26727
11	628	25562
12	655	24551
13	685	23802
14	714	23117
15	738	22325
16	781	22199
17	818	21914
18	874	22149
19	922	22148
20	963	21982
21	1019	22142
22	1059	21962
23	1107	21959
24	1156	21973
25	1197	21839
26	1234	21618
27	1266	21342
28	1299	21105
29	1342	21029
30	1379	20875
31	1452	21247
32	1521	21534
33	1560	21394
34	1599	21256
35	1643	21178
36	1671	20913
37	1715	20860
38	1765	20867
39	1818	20916
40	1880	21053
41	1953	21299
42	2012	21393
43	2049	21241
44	2097	21208
45	2159	21314
46	2201	21218
47	2255	21237
48	2291	21093
49	2335	21022
50	2391	21056
51	2445	21070
52	2504	21121
53	2539	20973
54	2602	21054
55	2665	21133
56	2731	21228
57	2804	21372
58	2851	21316
59	2920	21417
60	2985	21484
61	3102	21918
62	3183	22081
63	3230	22009
64	3333	22308
65	3381	22233
66	3450	22300
67	3494	22201
68	3536	22087
69	3595	22084
70	3663	22137
71	3721	22121
72	3756	21972
73	3794	21841
74	3874	21953
75	3932	21941
76	4006	22011
77	4067	22004
78	4127	21994
79	4200	22051
80	4255	22014
81	4303	21934
82	4354	21876
83	4371	21647
84	4396	21463
85	4427	21315
86	4471	21225
87	4509	21110
88	4556	21040
89	4605	20981
90	4659	20940
91	4714	20906
92	4761	20837
93	4809	20773
94	4842	20646
95	4907	20652
96	4942	20533
97	4984	20446
98	5046	20442
99	5078	20315
100	5115	20209
101	5159	20130
102	5193	20016
103	5224	19892
104	5268	19818
105	5311	19744
106	5357	19678
107	5421	19679
108	5488	19689
109	5515	19553
110	5554	19466
111	5586	19351
112	5607	19205
113	5631	19069
114	5653	18925
115	5672	18777
116	5706	18680
117	5726	18538
18	5591	17901
119	5646	17881
120	5689	17821
121	5740	17784
122	5774	17699
123	5807	17610
124	5849	17549
125	5866	17414
126	5892	17307
127	5916	17195
128	5943	17094
129	5970	16992
130	5989	16871
131	6012	16762
132	6031	16643
133	6057	16543
	5942	16066
135	5961	15955
136	5986	15860
137	6006	15757
138	6024	15645
139	6046	15547
140	6070	15457
141	6083	15337
142	6098	15223
143	6110	15105
144	6124	14993
145	6139	14885
146	6378	15317
147	6401	15225
148	6436	15162
149	6453	15058
150	6476	14968
151	6496	14874
152	6509	14764
153	6525	14661
154	6540	14558
155	6557	14459
156	6573	14361
157	6585	14254
158	6595	14145
159	6607	14041
160	6619	13937
161	6627	13827
162	6635	13719
163	6645	13615
	7021	14255
165	7045	14176

166	7008	13975
167	7027	13888
168	7050	13809
169	7070	13724
170	7083	13628
171	7098	13535
172	7110	13441
173	7129	13356
174	7142	13265
175	7152	13167
176	7163	13071
177	7172	12974
